State,Year,Population
AK,2003,701703.4889
AK,2004,704538.2222
AK,2005,707372.9556
AK,2006,710207.6889
AK,2007,713042.4222
AK,2008,715877.1556
AK,2009,718711.8889
AK,2010,713906
AK,2011,722038
AK,2012,730399
AK,2013,737045
AK,2014,736307
AK,2015,737547
AL,2003,4700035.911
AL,2004,4712696.111
AL,2005,4725356.311
AL,2006,4738016.511
AL,2007,4750676.711
AL,2008,4763336.911
AL,2009,4775997.111
AL,2010,4785448
AL,2011,4798834
AL,2012,4815564
AL,2013,4830460
AL,2014,4842481
AL,2015,4853160
AR,2003,2850432.033
AR,2004,2861275.667
AR,2005,2872119.3
AR,2006,2882962.933
AR,2007,2893806.567
AR,2008,2904650.2
AR,2009,2915493.833
AR,2010,2921978
AR,2011,2940407
AR,2012,2952109
AR,2013,2959549
AR,2014,2967726
AR,2015,2978407
AZ,2003,5700647.422
AZ,2004,5796611.889
AZ,2005,5892576.356
AZ,2006,5988540.822
AZ,2007,6084505.289
AZ,2008,6180469.756
AZ,2009,6276434.222
AZ,2010,6407774
AZ,2011,6473497
AZ,2012,6556629
AZ,2013,6634999
AZ,2014,6733840
AZ,2015,6833596
CA,2003,35362331.1
CA,2004,35652100.33
CA,2005,35941869.57
CA,2006,36231638.8
CA,2007,36521408.03
CA,2008,36811177.27
CA,2009,37100946.5
CA,2010,37320903
CA,2011,37641823
CA,2012,37960782
CA,2013,38280824
CA,2014,38625139
CA,2015,38953142
CO,2003,4458501.056
CO,2004,4540960.222
CO,2005,4623419.389
CO,2006,4705878.556
CO,2007,4788337.722
CO,2008,4870796.889
CO,2009,4953256.056
CO,2010,5048281
CO,2011,5121771
CO,2012,5193721
CO,2013,5270482
CO,2014,5351218
CO,2015,5452107
CT,2003,3604523.561
CT,2004,3602738.278
CT,2005,3600952.994
CT,2006,3599167.711
CT,2007,3597382.428
CT,2008,3595597.144
CT,2009,3593811.861
CT,2010,3579125
CT,2011,3588023
CT,2012,3594395
CT,2013,3594915
CT,2014,3594783
CT,2015,3587509
DC,2003,522331.7222
DC,2004,534769.5556
DC,2005,547207.3889
DC,2006,559645.2222
DC,2007,572083.0556
DC,2008,584520.8889
DC,2009,596958.7222
DC,2010,605085
DC,2011,619602
DC,2012,634725
DC,2013,650431
DC,2014,662513
DC,2015,675254
DE,2003,839918.4833
DE,2004,848342.1667
DE,2005,856765.85
DE,2006,865189.5333
DE,2007,873613.2167
DE,2008,882036.9
DE,2009,890460.5833
DE,2010,899595
DE,2011,907316
DE,2012,915188
DE,2013,923638
DE,2014,932596
DE,2015,941413
FL,2003,16545507.94
FL,2004,16857726.72
FL,2005,17169945.51
FL,2006,17482164.29
FL,2007,17794383.07
FL,2008,18106601.86
FL,2009,18418820.64
FL,2010,18845785
FL,2011,19093352
FL,2012,19326230
FL,2013,19563166
FL,2014,19860330
FL,2015,20224249
GA,2003,8982732.056
GA,2004,9084055.556
GA,2005,9185379.056
GA,2006,9286702.556
GA,2007,9388026.056
GA,2008,9489349.556
GA,2009,9590673.056
GA,2010,9711810
GA,2011,9801578
GA,2012,9901496
GA,2013,9973326
GA,2014,10069001
GA,2015,10181111
HI,2003,1325379.4
HI,2004,1332736
HI,2005,1340092.6
HI,2006,1347449.2
HI,2007,1354805.8
HI,2008,1362162.4
HI,2009,1369519
HI,2010,1363963
HI,2011,1379252
HI,2012,1394905
HI,2013,1408453
HI,2014,1414862
HI,2015,1422484
IA,2003,2959821.739
IA,2004,2973055.389
IA,2005,2986289.039
IA,2006,2999522.689
IA,2007,3012756.339
IA,2008,3025989.989
IA,2009,3039223.639
IA,2010,3050767
IA,2011,3066054
IA,2012,3076097
IA,2013,3093078
IA,2014,3109504
IA,2015,3121460
ID,2003,1396290.739
